character,sentiment
Dr. Hank Pym,-0.118876644631644
Scott Lang / Ant-Man,-0.10520219411683811
Sam Wilson / Falcon,0.0003310714011836545
Steve Rogers / Captain America,0.3707368262922182
Tony Stark / Iron Man,0.10134594283172824
J.A.R.V.I.S. / Vision,-0.11510223625399113
Thor,-0.039634930789754
Natasha Romanoff / Black Widow,0.348679201289395
Clint Barton / Hawkeye,0.2576554185994597
Bruce Banner / Hulk,0.2339460186083474
Agent Maria Hill,0.18771452957071588
James Rhodes / War Machine,0.39067853806725156
Wanda Maximoff,-0.049450294582691345
Nick Fury,0.03358832206343969
Thanos,0.020441141723906306
Nebula,-0.17659269531092814
Pepper Potts,0.02047628856709801
Rocket,0.002854587008919336
Carol Danvers / Captain Marvel,-0.2702317050528461
Gamora,0.017460726270073813
Loki,0.38718378216782623
Peter Parker / Spider-Man,0.08370499196975478
Peter Quill / Star-Lord,-0.10823105275936334
Happy Hogan,0.09216806991626741
Drax the Destroyer,-0.0016921483425387743
Bucky Barnes / Winter Soldier,-0.0019026540282286205
Ned Leeds,0.3135852403907824
Agent Phil Coulson,0.5297478776913992
Yondu Udonta,-0.030604754148145702
Ego,-0.26162919797061734
Quentin Beck / Mysterio,-0.034482003337895056
Michelle / MJ,0.22409631537918975
Adrian Toomes / Vulture,-0.31834116578572397
Jane Foster,0.009981741472751538
Darcy Lewis,0.18857476424978675
Odin,0.14947441812864892
